Id,SalePrice
1461,121053.73681
1462,155997.3332
1463,182549.14759
1464,198608.85783
1465,203216.92421
1466,169168.12704
1467,185359.62338
1468,158233.84757
1469,195567.21416
1470,120892.95168
1471,193764.49878
1472,97611.940168
1473,95602.896567
1474,143077.40802
1475,112909.40855
1476,368169.85955
1477,249708.46983
1478,308517.39757
1479,292379.8298
1480,462366.07279
1481,332104.36135
1482,209337.42216
1483,181790.7935
1484,155515.48305
1485,196817.34299
1486,197007.58211
1487,323193.94364
1488,239942.3991
1489,197881.13065
1490,244198.39423
1491,195624.57557
1492,90501.847744
1493,186424.88616
1494,287539.74985
1495,297967.04967
1496,234127.15156
1497,182827.59576
1498,161337.99731
1499,163159.67154
1500,158826.82437
1501,170534.27742
1502,145900.20098
1503,276322.04242
1504,241785.46371
1505,226532.97205
1506,190128.57427
1507,237009.33539
1508,208052.59725
1509,161926.66593
1510,142019.0942
1511,146417.35765
1512,177534.12824
1513,155903.88535
1514,158088.14002
1515,220474.76239
1516,152042.37704
1517,174015.20146
1518,129325.59883
1519,210731.29199
1520,128028.45783
1521,130711.87283
1522,177079.93011
1523,112063.27081
1524,129728.51792
1525,122017.43856
1526,113318.02299
1527,107347.28345
1528,139795.18583
1529,154715.70556
1530,207548.07791
1531,105595.77866
1532,99137.663833
1533,140986.14349
1534,123160.97676
1535,146620.65043
1536,107555.84857
1537,58289.988753
1538,142288.65775
1539,219158.12369
1540,92280.752667
1541,153081.53787
1542,143205.83526
1543,183661.82091
1544,87511.750397
1545,121571.4562
1546,138943.8615
1547,136397.03491
1548,142176.38929
1549,121878.68482
1550,135132.2665
1551,98488.259574
1552,120520.31764
1553,153452.25104
1554,118567.67939
1555,157172.21531
1556,81190.299925
1557,109213.05459
1558,104962.1916
1559,70815.005845
1560,130366.82685
1561,113054.80373
1562,131088.80688
1563,121341.74607
1564,156960.31344
1565,149070.50325
1566,243878.71151
1567,81013.238101
1568,220113.81304
1569,126757.68806
1570,140046.96089
1571,121673.11938
1572,145210.61502
1573,256362.83921
1574,106257.67499
1575,233574.50684
1576,226233.51654
1577,176103.56709
1578,146840.63898
1579,143898.85792
1580,191805.99077
1581,155410.37433
1582,127306.78177
1583,277532.65536
1584,214353.64671
1585,141191.55377
1586,70320.486817
1587,105272.66014
1588,152000.44479
1589,105392.45837
1590,135824.41149
1591,99233.008468
1592,107725.14682
1593,122216.22557
1594,160179.68656
1595,107106.06295
1596,219163.24546
1597,202066.95932
1598,238938.76106
1599,173598.04861
1600,149157.57394
1601,69352.820868
1602,115835.91048
1603,67583.817978
1604,260753.82435
1605,240682.08301
1606,170710.80367
1607,173265.56354
1608,215431.57199
1609,185374.62136
1610,156185.87518
1611,142076.93787
1612,174096.31549
1613,163884.43729
1614,131685.42838
1615,101760.36869
1616,87347.447875
1617,96195.683794
1618,127845.44686
1619,141150.35131
1620,159290.23921
1621,140919.89916
1622,143161.58372
1623,259217.47962
1624,214776.09004
1625,114172.43439
1626,167768.88466
1627,190229.92799
1628,286841.33344
1629,180733.83041
1630,352355.90403
1631,229033.41809
1632,251441.58896
1633,175319.01169
1634,185494.81628
1635,172172.39528
1636,147677.89786
1637,201506.69053
1638,188794.43621
1639,195856.63654
1640,252321.67213
1641,189529.04805
1642,249362.09911
1643,219741.95949
1644,235915.85298
1645,214414.5774
1646,157750.6114
1647,153207.71433
1648,126762.92627
1649,138548.97667
1650,116498.51358
1651,128076.31972
1652,99012.697402
1653,101678.10113
1654,139602.22871
1655,129917.65872
1656,134493.43392
1657,139348.90117
1658,141259.53384
1659,118372.04576
1660,164083.31179
1661,464641.55824
1662,408876.70591
1663,372206.0157
1664,468498.40965
1665,313127.4257
1666,335004.52875
1667,395732.17636
1668,338078.27126
1669,311882.72378
1670,356095.00091
1671,257788.67776
1672,394507.56639
1673,298415.39013
1674,238883.78898
1675,202887.34898
1676,198557.82103
1677,230750.0965
1678,440556.97008
